short_form	matched_cl_id
Myofibroblasts	CL:0000186
Cycling MFB	CL:0000186
CD82highOX40L+	CL:0000186
UCB-HSCs	CL:2000095
HSCs	CL:0000037
cytotoxic T cells	CL:0000910
exhausted T cells	CL:0011025
iTreg	CL:0000902
Th1	CL:0000545
Tfh	CL:0002038
MAIT	CL:0000940
DCs	CL:0000451
Macrophages	CL:0000235
Neutrophils	CL:0000775
gammadelta T	CL:0000798
Gamma_ delta	CL:0000798
Tr1	CL:0000901
B_ Cell	CL:0000236
TCM	CL:0000904
TEM	CL:0000905
new Teff	CL:0001044
PBMCs	CL:2000001
B cells	CL:0000236
T cell	CL:0000084
CD4 naive	CL:0000895
CD4+	CL:0000624
CD4 memory	CL:0000897
CD8 effector	CL:0000913
CD8 memory	CL:0000909
RBCs	CL:0000232
PBMC	CL:2000001
CD4+ T cell	CL:0000624
NK cell	CL:0000623
CD8+ T cell	CL:0000625
bMicroglia	CL:0000129
aMicroglia	CL:0002629
pmMicroglia	CL:0002629
DAM	CL:0000129
elMicroglia	CL:0000129
pvMacrophages	CL:0000881
imB-cells	CL:0000816
immature B-cells	CL:0000816
mB-cells	CL:0000785
mature B-cells	CL:0000785
pimMicroglia	CL:0002628
IEG+Microglia	CL:0000129
sMicroglia	CL:0000129
pPAM	CL:0000129
eMicroglia	CL:0000129
pcpMacrophages	CL:0000880
acpMacrophages	CL:0000880
iMonocytes	CL:0000860
pMonocytes	CL:0000875
cpEpithelial cells	CL:0000706
Osteoclasts	CL:0000092
Osteoblasts	CL:0000062
MSCs	CL:0000134
Osteoprogenitors	CL:0007010
Mature osteoblasts	CL:0000062
Osteocytes	CL:0000137
ECs	CL:0000115
CD4+T	CL:0000624
Th2	CL:0000546
Th17	CL:0000899
Treg	CL:0000815
BM-MSCs	CL:0002540
T regulatory cells	CL:0000815
Tregs	CL:0000815
Lymphocytes	CL:0000542
T cells	CL:0000084
T lymphocytes	CL:0000084
naive T-cell	CL:0000898
memory T lymphocyte	CL:0000813
CD4+ T lymphocyte	CL:0000624
regulatory T-cells	CL:0000815
B lymphocytes	CL:0000236
FDCs	CL:0000442
B-cells	CL:0000236
B-cell	CL:0000236
